Score,Album,Artist,Release Date,Notes (release),Notes (revisit),Year,Tiebreaker
7,Pieces of a Man,Mick Jenkins,9/26/2018,,,2018,
4,Tha Carter V,Lil Wayne,9/27/2018,,,2018,
7,"Don't Forget About Me, Demos",Dominic Fike,10/16/2018,,These are insane to just be Demos. Just loose throw away tracks but each one is incredible.,2018,
7,BALLADS 1,Joji,10/26/2018,,,2018,
7,NOT ALL HEROES WEAR CAPES,Metro Boomin,11/2/2018,,,2018,
7,FM!,Vince Staples,11/2/2018,,,2018,
5,Noir,Simon,11/8/2018,,,2018,
6,Dicaprio 2,JID,11/26/2018,,,2018,
7,Some Rap Songs,Earl Sweatshirt,11/30/2018,,,2018,
6,I am > I was,21 Savage,12/21/2018,,,2018,
5,Everything for Sale,Boogie,1/25/2019,,,2019,
4,Harverd Dropout,Lil Pump,2/14/2019,,,2019,
4,Father of 4,Offset,2/22/2019,,,2019,
4,Shelby,Lil Skies,3/1/2019,,,2019,
4,Death race for love,Juice WRLD,3/8/2019,,,2019,
7,"When we all fall asleep, where do we go",Billie Eilish,3/19/2019,,,2019,
4,Bad Habits,NAV,3/22/2019,,,2019,
6,Crash Talk,Schoolboy Q,4/26/2019,,,2019,
4,Father of Ashad,DJ Khaled,5/17/2019,,,2019,
7,Zuu,Denzel Curry,5/24/2019,,,2019,
6,7,Lil Nas X,6/21/2019,,,2019,
5,Erys,Jaden,7/5/2019,,,2019,
4,The Big Day,Chance the Rapper,7/26/2019,,,2019,
5,Sailor,Rich Brian,7/26/2019,,,2019,
5,Live on Ice,Tobi Lou,8/2/2019,,,2019,
7,ARIZONA BABY,Kevin Abstract,8/15/2019,,,2019,
6,So Much Fun,Young Thug,8/16/2019,,,2019,
4,Ginger,BROCKHAMPTON,8/23/2019,,,2019,
8,Norman Fucking Rockwell,Lana Del Ray,8/30/2019,,,2019,
6,Hollywood's Bleeding,Post Malone,9/6/2019,,,2019,
5,The Fall of Hobo Johnson,Hobo Johnson,9/13/2019,,,2019,
7,All My Heroes are Cornballs,JPEGMAFIA,9/13/2019,,,2019,
6,Sweet Insomnia,Gallant,10/23/2019,,,2019,
5,JESUS IS KING,Kanye West,10/25/2019,,,2019,
6,Feet of Clay,Earl Sweatshirt,11/1/2019,,,2019,
5,Everybody's Everything,Lil Peep,11/15/2019,,,2019,
10,IGOR,Tyler the Creator,11/17/2019,,This and Blonde routinely switch places for my favorite album of all time. I think that,2019,
5,Please Excuse Me for Being Antisocial,Roddy Rich,12/6/2019,,,2019,
4,Bad Vibes Forever,XXXTENTACION,12/6/2019,,,2019,
8,Bubba,KAYTRANDA,12/13/2019,,,2019,
6,Jackboys,Jackboys,12/27/2019,,,2019,
7,Circles,Mac Miller,1/17/2020,,,2020,
4,Funeral,Lil Wayne,1/31/2020,,,2020,
8,YHLQMDLG,Bad Bunny,2/29/2020,,not english,2020,
4,- TRAGEDY +,$NOT,3/6/2020,,,2020,
5,Eternal Atake,Lil Uzi Vert,3/6/2020,,,2020,
6,3.15.20,Childish Gambino,3/15/2020,,,2020,
7,After Hours,The Weeknd,3/20/2020,,,2020,
7,Pray for Paris,Westside Gunn,4/17/2020,,,2020,
5,Dark Lane Demo Tapes,Drake,5/1/2020,,,2020,
5,Good Intentions,NAV,5/8/2020,,,2020,
5,High Off Life,Future,5/15/2020,,,2020,
4,WUNNA,Gunna,5/22/2020,,,2020,
8,Alfredo,"Freddie Gibbs, The Alchemist",5/29/2020,,,2020,1
5,Legends Never Die,Juice WRLD,7/10/2020,,,2020,
7,What Could Possibly Go Wrong,Dominic Fike,7/31/2020,,,2020,1
6,Nectar,Joji,9/25/2020,,,2020,
6,Savage Mode 2,"21 Savage, Metro Boomin",10/2/2020,,,2020,
4,Pluto x Baby Pluto,"Future, Lil Uzi Vert",11/13/2020,,,2020,
6,Man On The Moon III: The Chosen,Kid Cudi,12/11/2020,,,2020,
6,Whole Lotta Red,Playboi Carti,12/25/2020,,,2020,
6,RONALD.,6 Dogs,3/12/2021,,,2021,
6,Valencia,Yeek,3/19/2021,,,2021,
6,I TAPE,Vic Mensa,3/26/2021,,,2021,
7,"ROADRUNNER: NEW LIGHT, NEW MACHINE",BROCKHAMPTON,4/9/2021,,,2021,
7,Nurture,Porter Robinson,4/23/2021,,,2021,
8,The Off-Season,J. Cole,5/14/2021,,"Cole has been unstoppable since the release of this album imo. No bad songs, no bad features and that is CRAZY.",2021,1
4,Culture III,Migos,6/11/2021,,,2021,
4,Sin City The Mixtape,Ski Mask the Slump God,6/25/2021,,,2021,
7,CALL ME IF YOU GET LOST,Tyler the Creator,6/25/2021,,,2021,
6,USEE4YOURSELF,IDK,7/9/2021,,,2021,
6,Vince Staples,Vince Staples,7/9/2021,,,2021,
4,All Over the Place,KSI,7/16/2021,,,2021,
4,Faith,Pop Smoke,7/16/2021,,,2021,
5,"Thank you, God. For it all.",Childish Major,7/23/2021,,,2021,
5,We're All Alone in This Together,Dave,7/23/2021,,,2021,
5,IITE COOL,DPR LIVE,7/23/2021,,,2021,
5,Project X,Ken Carson,7/23/2021,,,2021,
4,Die Under the Moon,Yung Bleu,7/23/2021,,,2021,
4,F*CK LOVE 3+: OVER YOU,The Kid LAROI,7/27/2021,,,2021,
7,The House is Burning,Isiah Rashad,7/30/2021,,,2021,
4,Bobby Tarantino III,Logic,7/30/2021,,,2021,
5,All in,Skepta,7/30/2021,,,2021,
6,Long Term Effects of SUFFERING,$uicideboy$,8/13/2021,,,2021,
5,"If This Isn's Nice, I Don't Know What Is",Still Woozy,8/13/2021,,,2021,
4,We Love You Tecca 2,Lil Tecca,8/27/2021,,,2021,
5,CTV3: Day Trippers Edition,Jaden,8/28/2021,,,2021,
7,Donda,Kanye West,8/29/2021,,,2021,
5,Certified Lover Boy,Drake,9/3/2021,,,2021,
7,The Melodic Blue,Baby Keem,9/10/2021,,,2021,
8,Friends That Break Your Heart,James Blake,10/8/2021,,,2021,
6,Punk,Young Thug,10/15/2021,,,2021,
5,shut the fuck up talking to me,Zack Fox,10/15/2021,,,2021,
8,WEIGHT OF THE WORLD,Maxo Cream,10/18/21,,,2021,
6,LP!,JPEGMAFIA,10/22/2021,,,2021,
4,What You Expect,Big Sean,10/29/2021,,,2021,
7,Elephant in The Room,Mick Jenkins,10/29/2021,,,2021,
5,TWOPOINTFIVE,Amine,11/5/2021,,,2021,
7,Silk Sonic,Silk Sonic,11/12/2021,,,2021,
5,SYRE,Jaden,11/17/2021,,,2021,
5,MONTERO,Lil Nas X,11/17/2021,,,2021,
5,MY FAVORITE NIGHTMARES,Jack Kays,12/1/2021,,,2021,
5,Fighting Demons,Juice WRLD,12/10/2021,,,2021,
6,Alone at Prom,Tory Lanez,12/10/2021,,,2021,
4,4NEM,Chief Keef,12/17/2021,,,2021,
5,DS4EVER,Gunna,1/7/2022,,,2022,
7,Dawn FM,The Weeknd,1/7/2022,,,2022,
7,SICK!,Earl Sweatshirt,1/13/2022,,,2022,
4,on to better things,iann dior,1/21/2022,,,2022,
6,Few Good Things,Saba,2/4/2022,,,2022,
5,Ethereal,$NOT,2/11/2022,,,2022,
5,GHETTO GODS,EARTHGANG,2/25/2022,,,2022,
6,Non-Perishable,Tobi Lou,3/11/2022,,,2022,
5,D-Day,Dreamville,3/31/2022,,,2022,
6,learn 2 swim,redveil,4/20/2022,,,2022,
7,It's Almost Dry,Pusha T,4/22/2022,,,2022,
5,Simple.,IDK,5/6/2022,,,2022,
4,Come Home The Kids Miss You,Jack Harlow,5/6/2022,,,2022,
8,Mr. Morale & The Big Steppers,Kendrick Lamar,5/13/2022,,"This album is fantastic and I think it shows a lot of growth for kendrick across his career. I think that some of the messages and themes throughout are just really hard to listen to. I think that sometimes his ability to discuss important topics shows a bit of immaturity but I do think this adds to the human aspect of a lot of Kendrick's music. He is not perfect and he never has been. He, like all of us, still has a lot to grow but his continued attempt to grow is what makes a lot of his music inspiring.",2022,
8,Melt My Eyez See Your Future,Denzel Curry,5/25/2022,,,2022,
7,You Can't Kill Me,070 Shake,6/3/2022,,,2022,
4,Saturn Child,Lil Tracy,6/3/2022,,,2022,
4,Twelve Carat Toothache,Post Malone,6/3/2022,,,2022,
5,Lost Souls,Vory,6/3/2022,,,2022,
6,Gemini Rights,Steve Lacy,6/15/2022,,,2022,
4,"Honestly, Nevermind",Drake,6/17/2022,,,2022,
5,Vinyl Days,Logic,6/17/2022,,,2022,
4,Give Or Take,Giveon,6/24/2022,,,2022,
5,WASTELAND,Brent Faiyaz,7/8/2022,,,2022,
6,2000,Joey Bada$$,7/22/2022,,,2022,
7,RENAISSANCE,Beyonce,7/29/2022,,,2022,
5,Funk Wav Bounces Vol. 2,Calvin Harris,8/5/2022,,,2022,
4,GOD DID,DJ Khaled,8/26/2022,,,2022,
9,The Forever Story,JID,8/26/2022,"Finally a full length, carefully crafted project from JID. I have been waiting for something like this since 2018. I am very happy that he has earned the right to take his time on a project and he definitely delivered. This album is a tasteful sequel to the never story but also manages to be it's own thing with a developed and unique sound. The themes of family / unity throughout tie well with the motif of forever and contradict the idea of individualism and having to make it that is central to The Never Story. Tracks like ""Raydar"" ""Can't Punk Me"" ""Surround Sound"" and ""Bruddamen"" are the standouts for me. I think JID still struggles with slower songs sometimes (""Sistanem"", ""Can't Make U Change"") but overall every one of his performances is extraordinary. Easily AOTY.",,2022,
6,LOUIE,Kenny Beats,8/31/2022,,,2022,
5,Demons Protected by Angels,NAV,9/9/2022,,,2022,
4,Lyfe,Yeat,9/9/2022,,,2022,
5,Entergalactic,Kid Cudi,9/30/2022,,,2022,
5,I GOT ISSUES,YG,9/30/2022,,,2022,
4,It's Only Me,Lil Baby,10/14/2022,,,2022,
6,Luv 4 Rent,Smino,10/28/2022,,,2022,
5,Her Loss,"Drake, 21 Savage",11/4/2022,,,2022,
5,SMITHEREENS,Joji,11/4/2022,,,2022,
6,The Family,BROCKHAMPTON,11/17/2022,,,2022,
5,TM,BROCKHAMPTON,11/18/2022,,,2022,
8,NO THANK YOU,Little Simz,12/2/2022,,,2022,
8,HEROES & VILLIANS,Metro Boomin,12/2/2022,,,2022,
7,UGLY,slowthai,12/2/22,,,2022,
7,SOS,SZA,12/9/2022,,,2022,
4,MANSION MUSIK,Trippie Redd,1/20/2023,I can no longer listen to Trippie Redd,,2023,
5,Don't Get Too Close,Skrillex,2/18/2023,I like that Skrillex is trying to have fun and some of the tracks are interesting / fun but a lot of them just sound so weird.,,2023,
5,Love Sick,Don Toliver,2/24/2023,I do not really understand why people love this album so much. Maybe I just don't understand Don but I feel like I can never get into his full length projects.,,2023,
5,College Park,Logic,2/24/2023,,,2023,
5,AfterLyfe,Yeat,2/24/2023,"This thing is so long, Yeat is clearly not interested in making albums.",,2023,
7,"10,000 Gecs",100 gecs,3/17/2023,,,2023,
4,Lil Pump 2,Lil Pump,3/17/2023,,,2023,
7,Praise A Lord Who Chews But Which Does Not Consume,Yves Tumor,3/17/2023,Not exactly the sound I usually listen to but I think this record was really good. Lots of depth here that I probably missed out on as I am not really familiar with their other work.  Will be checking out other projects for sure and giving this lots of relistens,,2023,
6,Since I Have A Lover,6lack,3/24/2023,,,2023,
8,SCARING THE HOES,"JPEGMAFIA, Danny Brown",3/24/2023,"I think that every time I listen to this album, I like it a little more. My only real complaint about the project is that I wish more was said. Most of the topics are just commentary on the music industry and how it has grown stale. I also wish that Danny Brown had a few more opppurtunities to shine. Overall though, this album  is incredibly. Every song is very unique both against themselves and the industry as a whole. ""Scaring the Hoes"", ""Lean Beef Patty"", ""Burfict!"" are standouts for me but it I am a fan of almost every track. The energy and perspective this album provides is much needed in the scene and I hope it can be influential for albums to come this year.",,2023,
5,I'M REALLY LIKE THAT,DJ Drama,3/31/2023,,,2023,
4, Sremm 4 Life,Rae Sremmurd,4/7/2023,,,2023,
6,playing w/ fire,redveil,4/17/2023,,,2023,
6,Jackman.,Jack Harlow,4/28/2023,"A return to form? I think this album was pretty fun to listen to and Jack moved away from some of the cringe bars for sure. I do think that a lot of his music still lacks depth or is misplaced (see ""Gang Gang Gang"").",,2023,
5,F65,IDK,5/4/2023,,,2023,
4,If Looks Could Kill,Destroy Lonely,5/5/2023,,,2023,
5,NEVER ENOUGH,Daniel Caesar,5/7/2023,,,2023,
4,Almost Healed,Lil Durk,5/26/2023,,,2023,
7,Across the Spiderverse,Metro Boomin,6/2/2023,"If this album was allowed to be uncensored I think it could have been really great. I still enjoy a lot of the songs and especially in the context of the film, I think they are great. Metro continues to impress with his production and ability to curate performances. The cast for this album all perform at an acceptable level.",,2023,
5,Split Decision,"Dave, Central Cee",6/4/2023,I think the two actually work really well together it's just that the lyrics are not great / straight up offensive throughout…,,2023,
7,Michael,Killer Mike,6/16/2023,I think it was deserving of rap album of the year,,2023,
7,"I was mature for my age, but I was still a child",grouptherapy.,6/27/2023,It is sad that given the name of this album it feels so immature. A lot of the lyrics and thoughts that the songs have feel really close to being something but do not quite get there. It leaves me excited for future projects!,,2023,
5,Gift & a Curse,Gunna,7/16/2023,,,2023,
6,Barbie the Album,Various Artists,7/21/2023,,,2023,
7,Utopia,Travis Scott,7/28/2023,"Sufferers from a similar problem to Donna/Kanye where Travis often feels like the most forgettable / weakest part of songs. Lyrically there is not much to pick apart, Travis offers very little of impact or value aside from ""My Eyes"". The features for this project are larger in name than Astroworld (Beyoncé, Carti, Future, Badbunny) but their impact feels much smaller.  Overall, when the songs are put against each other I still think they are sonically unique and interesting and I think the album is definitely worth a listen / enjoyable. I wish we got more from Travis given the large gap between projects but I am glad we did not just get Astroworld 2. ",,2023,
8,The Patience,Mick Jenkins,8/18/2023,"Mick sounds so hungry on this project. The aggression we hear from him is something that I think there has not been too much of in the past. I think this works well on a lot of the tracks but a few do fall short (""ROY G. BIV, Farm to Table""). Overall, the project is still super enjoyable and ""smoke break"" might be my favorite track of the year. Every feature delivers and works incredibly well with Mick but I do not think any really outshine him which is great. I wish the project was longer but I understand and respect that Mick kept it to this length.",,2023,
7,Tesla,Lil Yachty,8/25/2023,He is really stepping into his own as a producer and artist. He proves that he can hold his own with some of the best and still spit verses which contradicts his last project pretty heavily. A fun little project to hold us over til a (hopeful) album in the coming years.,,2023,
8,How Do You Sleep at Night?,Teezo Touchdown,9/8/2023,"Very interesting project for a ""debut"" album. I really admire that Teezo did not go crazy with features all though it seems like he very easily could have. I think the production really carries here as a lot of the lyrics are relatively immature and at times even cringe (especially when you realizes Teezo is 30). I don't hold that against the album too much however considering Teezo does not seem to be taking himself very seriously here. It seems like he is having fun and there are (hopefully intentional) undertones of humor throughout. ""Too Easy, Familiarity, Sweet"" are standouts for me and this album leaves me excited to see what Teezo will do in the future.",,2023,
7,Magic 3,Nas,9/14/2023,,,2023,
4,Victor,Vic Mensa,9/15/2023,,,2023,
4,Scarlet,Doja Cat,9/22/2023,,,2023,
4,TEC,Lil Tecca,9/22/2023,,,2023,
5,Tha Fix Before the IV,Lil Wayne,9/28/2023,"The beats are actually very interesting, especially for a lil wayne project but the lowlights on this album are just so low. ""Kat Food"" and ""Tity Boi"" are just incredibly outdated tracks. I like ""birds"" and ""act up"". Obviously this is not a legitimate project and just Wayne releasing some loonies before the big album, given the name, but even then I was relatively disappointed. Comparing this to similar projects (mostly untitled unmastered) this really falls short.",,2023,
5,For All the Dogs,Drake,10/6/2023,"I think this project is more creative / exciting than a lot of Drake's recent work, but 23 tracks is still WAYY too much. Drake has never and probably will never have the ability to entertain me for 1.5 straight hours. A portion of this album listens like a break-up album but the feelings that Drake conveys are so elementary (especially for a 36 year old) that it is pretty sad. Most of the conclusions of these break up tracks is just ""i hate u, you don't deserve me, you're immature"" but maybe if drake stopped dating women 10 years younger than him he would not have this issue. He needs way more introspection. I think all the features and highlights of this album (""First person shooter"", ""Slime you out"", ""members only"", ""IDGAF"") are too good for me to dip below 5 but it was close. ",,2023,
4,VOIR DIRE,"Earl Sweatshirt, The Alchemist",10/6/2023,NFT/10,,2023,
6,nadie sabe lo que va a pasar manana,Bad Bunny,10/13/2023,,,2023,
7,Set it Off,Offset,10/13/2023,,,2023,
7,And Then You Pray For Me,Westside Gunn,10/13/2023,Never really gotten that into westside gunn but heard this album + pray for paris were really good so I checked them out. I do think both projects are unique and entertaining. I think that this one specifically is a bit on the long side. I imagine a lot of my feelings about this project being repetitive comes from the fact that I listened to it so quickly after Pray for Paris instead of 3 years after so i wont let that detract from the project too much. Overall very fun project and westside is in great form + utilizes features to keep every track interesting,,2023,
6,Lahai,Sampha,10/20/2023,,,2023,
6,Slime in the Ice Machine,"Ameer Van, Merlyn Wood",10/27/2023,I don't know if it is because I had the lowest expectations ever but this album was actually pleasantly surprising. I liked several tracks and Ameer + Merlyn have always worked well together. I think the title / concept is a little cringey but I think it has a nice sound overall,,2023,
5,Larger than Life,Brent Faiyaz,10/27/2023,Feel like this album really flew under the radar. Did not hear much discussion about it anywhere. I think that it was an ok project overall but I guess at this point for Brent I am looking for more. I do not think this lives up to wasteland and it for sure does not live up to Fuck the World,,2023,
4,Blanket,Kevin Abstract,11/3/2023,,,2023,
8,Heaven Knows,PinkPantheress,11/10/2023,"PinkPanthress' ability to create her own sound in this hyper-pop / hip-hop indie sphere is really incredible. I think that the areas she lacks in most is lyrical depth but it is never enough to distract or take away from a track. Probably one of the best debut albums I have ever heard and I really doubt anyone else could produce / create something like it. I hope that this will propel them to be a more household name and am very excited for future work. I think a few tracks could be cut (Ophelia, Blue, Feel Complete) as they seem to accomplish similar goals to other tracks but I understand why the track list is the length it is. I also feel like Boys a Liar is so out of place on the track list but it is probably just thrown in for streaming number purposes which is acceptable especially for a smaller artist. It is pretty crazy how old / dated boys a liar sounds though, really goes to show how much she has been able to develop her own sound in such a short time, very excited for what is to come, contender for AOTY.",,2023,1
7,Quaranta,Danny Brown,11/17/2023,"I think my main critique of Scaring the Hoes was that Danny Brown's role was minimized / he did not have a chance to speak about anything meaningful. With that in mind, this album really delivers. Danny Brown touches on so much about his life and his place in the rap game right now. I think the juxtaposition of his ""normal"" voice and high pitched voice was a little jarring at first but I think overall it is done really well. I think a few of the tracks could use more depth (Hanami, Down Wit it) as they discuss some heavy topics but do not break them down to the level of detail I desired. The bars throughout the project are phenomenal though and seeing an older rapper actually evolve / discuss topics relevant to their age is really refreshing.",,2023,
5,Welcome 2 Collegrove,"Lil Wayne, 2 Chainz",11/17/2023,,,2023,
4,Pink Friday 2,Nicki Minaj,12/8/2023,"This project is way too bloated, 22 tracks is a LOT. I think that the second half is a lot stronger than the first but it still falls flat. A lot of the features / sample flips really disappoint / underperform as well. Nicki's rapping on the project is good but not anything we haven't already seen her do before / do better. ",,2023,
6,american spirit,21 Savage,1/11/2024,Lots of sampling on this project (ty kanye) and I was kinda getting bored through it but it was good. Wish there was a J cole feature  or just more interesting features in general but feel like this is a pretty typical project i expect from 21.,,2024,
4,Insano,Kid Cudi,1/11/2024,I am personally more of a fan of when Cudi leans into this voice and focuses on singing rather than rapping. With that being said this album is pretty dissapointing and it was hard to find places that I really liked / could see myself revisiting.,,2024,
6,All is Yellow,Lyrical Lemonade,1/25/2024,"This project feels very 2016, in a good way. I really enjoyed the listen and hearing from some artists I have not heard from in a while. Excited to watch the videos as that is obviously a large part of this project. Glad this came together and got some fun tracks out of it, did not expect much else when it was announced.",,2024,
5,hella,1999 Write the Future,2/9/2024,Interesting under the radar project. Smino and Rich Brian tracks are really fun,,2024,
